,urban_score,oxford_score,follower_score,favorite_score,friend_score,sex_words_ratio,posneg,compound
24466,0.0606061,0.010526299999999999,1.6020999999999998e-05,0.00735848,0.0006150109999999999,0.0112570356472795,0.181,0.6249
24467,0.0606061,0.0,5.2459800000000006e-06,0.033113199999999995,7.30224e-05,0.0177383592017738,0.068,0.2732
24468,0.0909091,0.021052599999999998,9.42777e-05,0.0149257,5.354979999999999e-05,0.0195121951219512,-0.367,-0.9118
24469,0.151515,0.010526299999999999,1.63375e-05,0.00601832,0.000678297,0.0266075388026608,-0.16,-0.5859
24470,0.151515,0.0,0.0245043,0.00481731,0.0018855999999999999,0.0221729490022173,-0.267,-0.8074
24471,0.0606061,0.0,3.1642400000000004e-06,0.00151245,0.000336715,0.0139372822299652,0.195,0.4404
24472,0.030302999999999997,0.0,0.00226541,0.00296526,0.092887,0.00573888091822095,-0.185,-0.5267
24473,0.0606061,0.0,0.0245043,0.00481731,0.0018855999999999999,0.00975609756097561,-0.04500000000000001,-0.25
24474,0.12121199999999999,0.0,0.0245043,0.00481731,0.0018855999999999999,0.016260162601626,0.04899999999999999,0.128
24475,0.151515,0.0,1.19575e-05,0.0217524,0.000486005,0.0212089077412513,0.203,0.6249
24476,0.030302999999999997,0.0,5.6656599999999996e-05,0.0125154,0.00191481,0.008130081300813009,-0.218,-0.4717
24477,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,-0.2,-0.5423
24478,0.0909091,0.010526299999999999,4.62978e-06,0.000468809,0.0005866140000000001,0.0300187617260788,0.2,0.3612
24479,0.0606061,0.0,0.000341471,0.109648,0.0006393519999999999,0.010840108401084,-0.035,-0.1808
24480,0.0606061,0.0,0.000341471,0.109648,0.0006393519999999999,0.032520325203252,0.09399999999999997,0.186
24481,0.030302999999999997,0.0315789,0.000341471,0.109648,0.0006393519999999999,0.0260162601626016,-0.212,-0.5809
24482,0.030302999999999997,0.0,0.000341471,0.109648,0.0006393519999999999,0.0195121951219512,-0.423,-0.296
24483,0.151515,0.0,0.000341471,0.109648,0.0006393519999999999,0.02710027100271,0.0,0.0
24484,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,-0.455,-0.6124
24485,0.030302999999999997,0.010526299999999999,0.000341471,0.109648,0.0006393519999999999,0.0177383592017738,-0.231,-0.34
24486,0.12121199999999999,0.0,0.000341471,0.109648,0.0006393519999999999,0.043360433604336,0.0,0.0
24487,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,0.466,0.5411
24488,0.030302999999999997,0.0,4.33001e-07,1.1595999999999999e-05,6.73429e-05,0.00573888091822095,0.086,0.4215
24489,0.24242399999999997,0.021052599999999998,8.631709999999999e-05,0.00041082900000000003,0.00192941,0.040650406504065005,0.254,0.7783
24490,0.030302999999999997,0.010526299999999999,7.39433e-06,0.0102707,0.000265315,0.009291521486643441,0.008000000000000007,0.0516
24491,0.151515,0.0,0.00452217,0.00459036,0.000193915,0.0232288037166086,-0.022999999999999993,-0.1428
24492,0.0,0.0,3.06432e-06,0.000795154,0.000210142,0.0,-0.172,-0.4019
24493,0.030302999999999997,0.0,4.6630900000000004e-06,0.057035699999999995,0.000162272,0.016260162601626,0.0,0.0
24494,0.12121199999999999,0.0,1.12414e-05,3.14748e-05,0.00045355,0.043360433604336,-0.322,-0.5859
24495,0.0,0.0,2.16501e-07,0.000851477,1.62272e-05,0.0,0.0,0.0
